ppg
72
84
148
67
64
211
109
100
116
51
54
140
280
57
42
211
250
85
59
237
172
64
89
199
159
191
132
65
151
46
69
136
210
95
84
62
52
65
58
50
110
46
44
86
250
140
96
200
159
95
