,0
138,"May 6, 2025"
139,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
140,OPINION: True crime should be made for more than money and entertainment
141,Aiden Williams
142,"May 6, 2025"
143,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
144,OPINION: Can we please stop texting?
145,Fiona Sievert
146,"May 6, 2025"
147,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
148,OPINION: Encourage more street art in our community
149,Ian Stash
150,"April 30, 2025"
151,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
152,"OPINION: Lower graphics quality in video games? Yes, please"
153,Ian Stash
154,"April 30, 2025"
155,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
156,Arizona Arts Live presents Circa: Opus
157,Quentin S. Agnello
158,"April 22, 2025"
159,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
160,OPINION: AI is not the enemy of learning — outdated education standards are
161,Ara Arellano
162,"April 16, 2025"
163,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
164,OPINION: ‘Thoughts and prayers’ don’t save lives
165,Mason Kumet
166,"September 10, 2025"
167,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
168,Letter to the editor: a first-generation welcome
169,"Eddie Barrón, Student Body Senator"
170,"August 27, 2025"
171,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
172,MOVIE REVIEW: ‘Superman’
173,Aiden Williams
174,"July 21, 2025"
175,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
176,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
177,Andres F. Diaz
178,"July 2, 2025"
179,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
180,OPINION: The Harvard crackdown isn’t just about Harvard
181,Andres F. Diaz
182,"June 3, 2025"
183,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
184,OPINION: An ode to public libraries
185,Andres F. Diaz
186,"May 24, 2025"
187,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
188,OPINION: Weight loss drugs are drifting students away from real care
189,Zaina Jasser
190,"May 12, 2025"
191,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
192,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
193,Kelley Benson
194,"May 10, 2025"
195,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
196,OPINION: Independent theaters matter more than ever
197,Valeria Nalani
198,"May 10, 2025"
199,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
200,OPINION: Philanthropic organizations need to rethink their priorities
201,Ian Stash
202,"May 9, 2025"
203,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
204,OPINION: Gen Z is changing the idea of professionalism for the better
205,Ara Arellano
206,"May 9, 2025"
207,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
208,OPINION: Stan culture is toxic and not a healthy mindset to adopt
209,Isabel Vidrio
210,"May 8, 2025"
211,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
212,OPINION: We should trend towards embracing philosophy and faith
213,Zaina Jasser
214,"May 6, 2025"
215,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
216,OPINION: The noise environment at a university can be harmful to neurodivergent students
217,Isabel Vidrio
218,"May 6, 2025"
219,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
220,OPINION: True crime should be made for more than money and entertainment
221,Aiden Williams
222,"May 6, 2025"
223,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
224,OPINION: Can we please stop texting?
225,Fiona Sievert
226,"May 6, 2025"
227,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
228,OPINION: Encourage more street art in our community
229,Ian Stash
230,"April 30, 2025"
231,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
232,"OPINION: Lower graphics quality in video games? Yes, please"
233,Ian Stash
234,"April 30, 2025"
235,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
236,Arizona Arts Live presents Circa: Opus
237,Quentin S. Agnello
238,"April 22, 2025"
239,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
240,OPINION: AI is not the enemy of learning — outdated education standards are
241,Ara Arellano
242,"April 16, 2025"
243,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
244,OPINION: ‘Thoughts and prayers’ don’t save lives
245,Mason Kumet
246,"September 10, 2025"
247,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
248,Letter to the editor: a first-generation welcome
249,"Eddie Barrón, Student Body Senator"
250,"August 27, 2025"
251,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
252,MOVIE REVIEW: ‘Superman’
253,Aiden Williams
254,"July 21, 2025"
255,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
