,0
609,Isabel Vidrio
610,"May 8, 2025"
611,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
612,OPINION: We should trend towards embracing philosophy and faith
613,Zaina Jasser
614,"May 6, 2025"
615,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
616,OPINION: The noise environment at a university can be harmful to neurodivergent students
617,Isabel Vidrio
618,"May 6, 2025"
619,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
620,OPINION: True crime should be made for more than money and entertainment
621,Aiden Williams
622,"May 6, 2025"
623,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
624,OPINION: Can we please stop texting?
625,Fiona Sievert
626,"May 6, 2025"
627,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
628,OPINION: Encourage more street art in our community
629,Ian Stash
630,"April 30, 2025"
631,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
632,"OPINION: Lower graphics quality in video games? Yes, please"
633,Ian Stash
634,"April 30, 2025"
635,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
636,Arizona Arts Live presents Circa: Opus
637,Quentin S. Agnello
638,"April 22, 2025"
639,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
640,OPINION: AI is not the enemy of learning — outdated education standards are
641,Ara Arellano
642,"April 16, 2025"
643,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
644,OPINION: ‘Thoughts and prayers’ don’t save lives
645,Mason Kumet
646,"September 10, 2025"
647,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
648,Letter to the editor: a first-generation welcome
649,"Eddie Barrón, Student Body Senator"
650,"August 27, 2025"
651,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
652,MOVIE REVIEW: ‘Superman’
653,Aiden Williams
654,"July 21, 2025"
655,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
656,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
657,Andres F. Diaz
658,"July 2, 2025"
659,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
660,OPINION: The Harvard crackdown isn’t just about Harvard
661,Andres F. Diaz
662,"June 3, 2025"
663,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
664,OPINION: An ode to public libraries
665,Andres F. Diaz
666,"May 24, 2025"
667,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
668,OPINION: Weight loss drugs are drifting students away from real care
669,Zaina Jasser
670,"May 12, 2025"
671,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
672,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
673,Kelley Benson
674,"May 10, 2025"
675,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
676,OPINION: Independent theaters matter more than ever
677,Valeria Nalani
678,"May 10, 2025"
679,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
680,OPINION: Philanthropic organizations need to rethink their priorities
681,Ian Stash
682,"May 9, 2025"
683,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
684,OPINION: Gen Z is changing the idea of professionalism for the better
685,Ara Arellano
686,"May 9, 2025"
687,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
688,OPINION: Stan culture is toxic and not a healthy mindset to adopt
689,Isabel Vidrio
690,"May 8, 2025"
691,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
692,OPINION: We should trend towards embracing philosophy and faith
693,Zaina Jasser
694,"May 6, 2025"
695,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
696,OPINION: The noise environment at a university can be harmful to neurodivergent students
697,Isabel Vidrio
698,"May 6, 2025"
699,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
700,OPINION: True crime should be made for more than money and entertainment
701,Aiden Williams
702,"May 6, 2025"
703,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
704,OPINION: Can we please stop texting?
705,Fiona Sievert
706,"May 6, 2025"
707,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
708,OPINION: Encourage more street art in our community
709,Ian Stash
710,"April 30, 2025"
711,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
712,"OPINION: Lower graphics quality in video games? Yes, please"
713,Ian Stash
714,"April 30, 2025"
715,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
716,Arizona Arts Live presents Circa: Opus
717,Quentin S. Agnello
718,"April 22, 2025"
719,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
720,OPINION: AI is not the enemy of learning — outdated education standards are
721,Ara Arellano
722,"April 16, 2025"
723,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
724,OPINION: ‘Thoughts and prayers’ don’t save lives
725,Mason Kumet
726,"September 10, 2025"
727,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
728,Letter to the editor: a first-generation welcome
729,"Eddie Barrón, Student Body Senator"
730,"August 27, 2025"
731,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
732,MOVIE REVIEW: ‘Superman’
733,Aiden Williams
734,"July 21, 2025"
735,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
736,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
737,Andres F. Diaz
738,"July 2, 2025"
739,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
740,OPINION: The Harvard crackdown isn’t just about Harvard
741,Andres F. Diaz
742,"June 3, 2025"
743,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
744,OPINION: An ode to public libraries
745,Andres F. Diaz
746,"May 24, 2025"
747,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
748,OPINION: Weight loss drugs are drifting students away from real care
749,Zaina Jasser
750,"May 12, 2025"
751,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
752,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
753,Kelley Benson
754,"May 10, 2025"
755,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
756,OPINION: Independent theaters matter more than ever
757,Valeria Nalani
758,"May 10, 2025"
759,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
760,OPINION: Philanthropic organizations need to rethink their priorities
761,Ian Stash
762,"May 9, 2025"
763,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
764,OPINION: Gen Z is changing the idea of professionalism for the better
765,Ara Arellano
766,"May 9, 2025"
767,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
768,OPINION: Stan culture is toxic and not a healthy mindset to adopt
769,Isabel Vidrio
770,"May 8, 2025"
771,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
772,OPINION: We should trend towards embracing philosophy and faith
773,Zaina Jasser
774,"May 6, 2025"
775,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
776,OPINION: The noise environment at a university can be harmful to neurodivergent students
777,Isabel Vidrio
778,"May 6, 2025"
779,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
780,OPINION: True crime should be made for more than money and entertainment
781,Aiden Williams
782,"May 6, 2025"
783,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
784,OPINION: Can we please stop texting?
785,Fiona Sievert
786,"May 6, 2025"
787,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
788,OPINION: Encourage more street art in our community
789,Ian Stash
790,"April 30, 2025"
791,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
792,"OPINION: Lower graphics quality in video games? Yes, please"
793,Ian Stash
794,"April 30, 2025"
795,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
796,Arizona Arts Live presents Circa: Opus
797,Quentin S. Agnello
798,"April 22, 2025"
799,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
800,OPINION: AI is not the enemy of learning — outdated education standards are
801,Ara Arellano
802,"April 16, 2025"
803,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
